,pearson,kendall,spearman,rmse,mse,mue,source
simulation_dg-ie-gb_gaff-2.11,"0.37 [68%: 0.17, 0.56]","0.29 [68%: 0.16, 0.43]","0.41 [68%: 0.22, 0.57]","26.36 [68%: 25.7, 27.03]","-26.11 [68%: -26.78, -25.46]","26.11 [68%: 25.46, 26.78]",P38
simulation_dg-ie-gb_openff-2.0.0,"0.40 [68%: 0.23, 0.57]","0.36 [68%: 0.24, 0.49]","0.49 [68%: 0.31, 0.64]","28.08 [68%: 27.43, 28.69]","-27.85 [68%: -28.49, -27.2]","27.85 [68%: 27.2, 28.49]",P38
simulation_dh-pb_espaloma-0.3.1,"0.29 [68%: 0.16, 0.43]","0.22 [68%: 0.10, 0.33]","0.33 [68%: 0.17, 0.47]","20.11 [68%: 19.52, 20.72]","-19.84 [68%: -20.47, -19.26]","19.84 [68%: 19.26, 20.47]",P38
simulation_dh-pb_gaff-2.11,"0.35 [68%: 0.17, 0.54]","0.27 [68%: 0.14, 0.39]","0.41 [68%: 0.24, 0.57]","18.46 [68%: 17.84, 19.07]","-18.19 [68%: -18.78, -17.61]","18.19 [68%: 17.61, 18.78]",P38
simulation_dh-pb_openff-2.0.0,"0.53 [68%: 0.41, 0.65]","0.43 [68%: 0.32, 0.54]","0.57 [68%: 0.42, 0.69]","19.53 [68%: 18.95, 20.08]","-19.27 [68%: -19.86, -18.68]","19.27 [68%: 18.68, 19.86]",P38
simulation_dh-gb_espaloma-0.3.1,"0.39 [68%: 0.25, 0.52]","0.28 [68%: 0.16, 0.39]","0.41 [68%: 0.25, 0.55]","31.98 [68%: 31.27, 32.66]","-31.75 [68%: -32.44, -31.04]","31.75 [68%: 31.04, 32.44]",P38
simulation_dh-gb_gaff-2.11,"0.38 [68%: 0.18, 0.57]","0.29 [68%: 0.17, 0.42]","0.43 [68%: 0.26, 0.58]","31.27 [68%: 30.57, 31.93]","-31.05 [68%: -31.72, -30.36]","31.05 [68%: 30.36, 31.72]",P38
simulation_dh-gb_openff-2.0.0,"0.41 [68%: 0.26, 0.57]","0.34 [68%: 0.21, 0.46]","0.46 [68%: 0.28, 0.62]","33.06 [68%: 32.4, 33.69]","-32.86 [68%: -33.52, -32.2]","32.86 [68%: 32.2, 33.52]",P38
simulation_mbar_espaloma-0.3.1,"0.54 [68%: 0.22, 0.74]","0.16 [68%: -0.12, 0.44]","0.21 [68%: -0.16, 0.55]","4.07 [68%: 3.56, 4.54]","-3.73 [68%: -4.25, -3.21]","3.73 [68%: 3.21, 4.25]",A2A
simulation_mbar_gaff-2.11,"0.93 [68%: 0.87, 0.97]","0.69 [68%: 0.52, 0.85]","0.85 [68%: 0.69, 0.95]","3.66 [68%: 3.17, 4.09]","-3.28 [68%: -3.8, -2.76]","3.28 [68%: 2.76, 3.8]",A2A
